ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
6893,0.14886,0.03655,0.06504,0.14606,0.17693,0.04239,0.12564,0.25691,0.07478,0.15129,0.41961,0.05113,0.80682,0.65389,0.05782
3522,0.02244,0.06678,0.13632,0.02863,0.01886,0.05431,0.02693,0.12175,0.06634,0.01836,0.03193,0.06557,0.29326,0.30963,0.02851
1172,0.00798,0.08636,0.02922,0.09145,0.06075,0.05478,0.14781,0.0864,0.1469,0.19272,0.12807,0.36942,0.92627,0.95103,0.40526
7190,0.07928,0.16359,0.01369,0.0444,0.10818,0.15504,0.05323,0.33083,0.14889,0.06795,0.08588,0.0516,0.12479,0.12388,0.01108
7155,0.06863,0.08794,0.17353,0.07043,0.41475,0.44564,0.0369,0.27481,0.0347,0.30487,0.13193,0.142,0.67594,0.58305,0.04284
20409,0.01715,0.04628,0.00763,0.05481,0.08206,0.15826,0.03424,0.0865,0.1755,0.78732,0.13937,0.7251,1.22968,0.62271,0.02354
16107,0.00529,0.09319,0.1131,0.00422,1.00E-05,0.03279,0.02443,0.0807,0.17213,0.06964,0.1519,0.34468,0.24089,0.34226,0.07799
2122,0.1076,0.13907,0.0935,0.05809,0.29151,0.20774,0.18981,0.31453,0.19102,0.26057,0.12539,0.26838,0.52735,0.41184,0.01498
15026,0.02891,0.24113,0.06059,0.04953,0.12732,0.11688,0.0685,0.14738,0.04678,0.04112,0.02506,0.08367,0.07221,0.04058,0.04202
8000,1.83001,2.22164,0.73597,3.04004,8.76031,0.45208,2.03955,0.45742,2.78639,3.84776,1.02133,28.38202,18.72386,0.06708,5.52471
18760,0.27222,0.33878,0.10121,0.17616,0.28022,0.16729,0.28453,0.22401,0.24846,0.23332,0.43962,0.12057,0.19658,0.36143,0.06823
1341,0.12957,0.08069,0.0248,0.12275,0.39331,0.10607,0.18368,0.21375,0.16912,0.09703,0.36561,0.33241,0.58571,0.27669,0.09041
13035,0.06459,0.01012,0.63626,0.1537,0.02235,0.05665,0.00438,0.08932,0.26337,0.02726,0.21314,0.10083,0.02057,0.06974,0.10324
20797,0.01463,0.13164,0.03077,0.02062,0.09977,0.06843,0.0903,0.0456,0.00331,0.00237,0.0454,0.21602,0.0057,0.48408,0.14661
9383,0.17488,0.13151,0.01437,0.01733,0.0406,0.03765,0.11264,0.09697,0.11849,0.21073,0.20298,0.79964,0.15262,2.83745,0.34562
